SKU,Product,Manufacturer,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO24424LAM,Albi Biscuit,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,600 - 1900,51.56,72.50,87.00,,Yes,,Yes
WO41619LAM,Albi Look Unfinished,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,600 - 1900,51.56,72.50,87.00,,Yes,,Yes
WO46590LAM,Albi Smoked Invisible,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,600 - 1900,51.56,72.50,87.00,,Yes,,Yes
WO45431LAM,Albi Vintage,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,600 - 1900,51.56,72.50,87.00,,Yes,,Yes
WO24658LAM,Bergamo Black,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO80353LAM,Bergamo Cotton White,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO59115LAM,Bergamo Look Unfinished,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO35771LAM,Bergamo Natural,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO46021LAM,Bergamo Smoke,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO53491LAM,Bergamo Titanium,Lamett,Wood,Plank,14/3,2.166,European Oak,Oil,190,630 - 1900,60.79,85.00,102.00,Yes,Yes,,Yes
WO95758LAM,Bergen 190 Invisible,Lamett,Wood,Plank,15/3,2.12,European Oak,Lacquer,190,630 - 1860,48.74,73.33,88.00,,,,Yes
WO75241LAM,Bergen 190 Mont Blanc,Lamett,Wood,Plank,15/3,2.12,European Oak,Lacquer,190,630 - 1860,48.74,73.33,88.00,,Yes,,Yes
WO39244LAM,Bergen 190 Natural,Lamett,Wood,Plank,15/3,2.12,European Oak,Lacquer,190,630 - 1860,48.74,73.33,88.00,,Yes,,Yes
WO39721LAM,Bergen 190 Pure,Lamett,Wood,Plank,15/3,2.12,European Oak,Lacquer,190,630 - 1860,48.74,73.33,88.00,,Yes,,Yes
WO70904LAM,Carcassone Black,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.00,75.83,91.00,Yes,Yes,,Yes
WO96447LAM,Carcassone Blanco,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.00,75.83,91.00,Yes,Yes,,Yes
WO62515LAM,Carcassone Look Unfinished,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.00,75.83,91.00,Yes,Yes,,Yes
WO46594LAM,Carcassone Natural,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,54.00,75.83,91.00,Yes,Yes,,Yes
WO17708LAM,Carcassone DC Granola,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.50,123.00,,Yes,,Yes
WO95366LAM,Carcassone DC Caramel,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.50,123.00,,Yes,,Yes
WO90387LAM,Carcassone DC Crumble,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.50,123.00,,Yes,,Yes
WO74306LAM,Carcassone DC Café Au Lait,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.50,123.00,,Yes,,Yes
WO87364LAM,Carcassone DC Amaretto,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.50,123.00,,Yes,,Yes
WO34389LAM,Carcassone DC Latte,Lamett,Wood,Plank,15/4,2.904,European Oak,Oil,220,600 - 2200,72.93,102.50,123.00,,Yes,,Yes
WO88874LAM,Chalet 190 Invisible,Lamett,Wood,Plank,14/3,2.888,European Oak,Oil,190,600 - 1900,31.88,52.50,63.00,,Yes,,Yes
WO91101LAM,Chalet 190 Natural,Lamett,Wood,Plank,14/3,2.888,European Oak,Oil,190,600 - 1900,31.88,52.50,63.00,,Yes,,Yes
WO58453LAM,Chalet Herringbone Invisible,Lamett,Wood,Herringbone,14/4,1.44,European Oak,Oil,120,600 - 1900,33.81,55.83,67.00,Yes,,,Yes
WO15305LAM,Chalet Herringbone Natural,Lamett,Wood,Herringbone,14/5,1.44,European Oak,Oil,120,600 - 1900,33.81,55.83,67.00,Yes,,,Yes
WO50169LAM,Cottage 190 Invisible,Lamett,Wood,Plank,14/3,2.12,European Oak,Lacquer,190,650 - 1900,33.00,54.17,65.00,Yes,Yes,,Yes
WO75834LAM,Cottage 190 Mont Blanc,Lamett,Wood,Plank,14/3,2.12,European Oak,Lacquer,190,650 - 1900,33.00,54.17,65.00,Yes,Yes,,Yes
WO82723LAM,Cottage 190 Natural,Lamett,Wood,Plank,14/3,2.12,European Oak,Lacquer,190,650 - 1900,33.00,54.17,65.00,Yes,Yes,,Yes
WO22888LAM,Cottage 190 Paris Brown,Lamett,Wood,Plank,14/3,2.12,European Oak,Lacquer,190,650 - 1900,29.92,49.17,59.00,Yes,Yes,,Yes
WO89781LAM,Cottage 260 Invisible,Lamett,Wood,Plank,15/4,3.432,European Oak,Lacquer,260,600 - 2200,43.20,65.00,78.00,Yes,Yes,,Yes
WO60629LAM,Cottage 260 Natural,Lamett,Wood,Plank,15/4,3.432,European Oak,Lacquer,260,600 - 2200,43.20,65.00,78.00,Yes,Yes,,Yes
WO15637LAM,Cottage Herringbone Invisible,Lamett,Wood,Herringbone,14/3,1.44,European Oak,Lacquer,120,600,35.00,54.17,65.00,Yes,,,Yes
WO46986LAM,Cottage Herringbone Natural,Lamett,Wood,Herringbone,14/3,1.44,European Oak,Lacquer,120,600,35.00,54.17,65.00,Yes,,,Yes
WO60154LAM,Country Double Smoked Pure,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO39043LAM,Country Smoked Coffee,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO18883LAM,Country Smoked Grey,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO94406LAM,Country Smoked Natural,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO36561LAM,Country Smoked White,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,Yes,Yes,,Yes
WO55968LAM,Country White,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,37.21,57.50,69.00,,Yes,,Yes
WO15099LAM,Farm Antique,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO38068LAM,Farm Harvest,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO56937LAM,Farm Herringbone Antique,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,Yes,Yes,,Yes
WO57968LAM,Farm Herringbone Old Church,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,Yes,Yes,,Yes
WO70668LAM,Farm Herringbone Pure,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,,Yes,,Yes
WO17207LAM,Farm Herringbone Traditions,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,Yes,Yes,,Yes
WO81827LAM,Farm Herringbone White,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,56.95,80.00,96.00,,Yes,,Yes
WO93436LAM,Farm Old Church,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO21150LAM,Farm Pure,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO55351LAM,Farm Traditions,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO48149LAM,Farm White,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,600 - 1860,46.64,70.00,84.00,Yes,Yes,,Yes
WO19488LAM,New York Coffee,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO46820LAM,New York Natural,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO77772LAM,New York Pure Plus,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO16146LAM,New York Skyline,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO43964LAM,New York Sunset,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO68589LAM,New York Wheat,Lamett,Wood,Plank,14/3.5,2.12,European Oak,Lacquer,190,630 - 1860,54.23,75.83,91.00,Yes,,,Yes
WO98198LAM,Oslo 150 Mont Blanc,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.00,72.00,,Yes,,Yes
WO90370LAM,Oslo 150 Natural,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.00,72.00,,Yes,,Yes
WO65008LAM,Oslo 150 Pure,Lamett,Wood,Plank,15/3,2.232,European Oak,Oil,150,630 - 1860,38.47,60.00,72.00,,Yes,,Yes
WO53483LAM,Oslo 190 Authentic Brown,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.17,89.00,Yes,,,Yes
WO43864LAM,Oslo 190 Mont Blanc,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.17,89.00,Yes,,,Yes
WO63495LAM,Oslo 190 Natural,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.17,89.00,Yes,,,Yes
WO19548LAM,Oslo 190 Paris Brown,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.17,89.00,Yes,,,Yes
WO52166LAM,Oslo 190 Pure,Lamett,Wood,Plank,15/3.5,2.12,European Oak,Oil,190,630 - 1860,49.58,74.17,89.00,Yes,,,Yes
WO53785LAM,Oslo Herringbone Mont Blanc,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,55.27,77.50,93.00,Yes,Yes,,Yes
WO74628LAM,Oslo Herringbone Natural,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,55.27,77.50,93.00,Yes,Yes,,Yes
WO29798LAM,Oslo Herringbone Pure,Lamett,Wood,Herringbone,15/3,1.25,European Oak,Oil,125,625,55.27,77.50,93.00,Yes,Yes,,Yes
WO48078LAM,Tenda 150 Invisible,Lamett,Wood,Plank,10/3,2.85,European Oak,Lacquer,150,600 - 1900,28.75,50.00,60.00,,Yes,,Yes
WO71282LAM,Tenda 150 Natural,Lamett,Wood,Plank,10/3,2.85,European Oak,Lacquer,150,600 - 1900,30.92,50.83,61.00,,Yes,,Yes
WO56755PAN,American Black Walnut (Matt) (Diva 139) 1021340,Panaget,Wood,Plank,14/3.4,1.39,American Walnut,Matt Lacquer,139,500 – 2000,71.55,100.00,120.00,,Yes,,Yes
WO19856PAN,American Black Walnut (Satin) (Herringbone 139) 1019564,Panaget,Wood,Herringbone,14/2.5,2.22,American Walnut,Satin Lacquer,139,800,79.90,111.67,134.00,,Yes,,Yes
WO74121PAN,Argile - Authentic (Diva 223) 1017303,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Matt Lacquer,223,700 – 2000,72.85,101.67,122.00,,Yes,,Yes
WO84017PAN,Argile - Zenitude (Diva 184) 1016189,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.17,89.00,Yes,Yes,,Yes
WO78112PAN,Bois Flotte - Authentic (Chevron 139) 1019821,Panaget,Wood,Chevron,14/3.4,1.45,European Oak,Matt Lacquer,139,500 – 2000,70.35,98.33,118.00,,Yes,,Yes
WO17345PAN,Bois Flotte - Authentic (Diva 139) 1017897,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,40.15,60.00,72.00,,Yes,,Yes
WO44295PAN,Bois Flotte - Authentic (Diva 184) 1016634,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.10,78.33,94.00,,Yes,,Yes
WO13281PAN,Bois Flotte - Authentic (Diva 223) 1016985,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Matt Lacquer,223,700 – 2000,72.85,101.67,122.00,Yes,Yes,,Yes
WO26750PAN,Bois Flotte - Authentic (Diva Click 184) 1000059,Panaget,Wood,Plank,12/2.5,2.2,European Oak,Matt Lacquer,184,495 – 1992,51.30,71.67,86.00,,Yes,,Yes
WO73529PAN,Bois Flotte - Authentic (Herringbone 139) 1016617,Panaget,Wood,Herringbone,14/3.4,2.22,European Oak,Matt Lacquer,139,800,58.90,82.50,99.00,,Yes,,Yes
WO14239PAN,Bois Flotte - Classic (Diva 139) 1019701,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,45.95,69.17,83.00,,Yes,,Yes
WO96500PAN,Bois Flotte - Classic (Diva 184) 1006159,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,59.00,82.50,99.00,,Yes,,Yes
WO55719PAN,Bois Flotte - Classic (Diva Click 139) 1005774,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,43.00,64.17,77.00,,Yes,,Yes
WO35030PAN,Bois Flotte - Intenso (Diva 139) 1017017,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,32.87,54.17,65.00,,Yes,,Yes
WO97297PAN,Bois Flotte - Zenitude (Diva 139) 1007643,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,37.65,58.33,70.00,,Yes,,Yes
WO52768PAN,Bois Flotte - Zenitude (Diva 184) 1007330,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,139,500 – 2000,52.75,74.17,89.00,Yes,Yes,,Yes
WO52271PAN,Bois Flotte - Zenitude (Diva 184) 1016424,Panaget,Wood,Plank,12/2.5,2.2,European Oak,Matt Lacquer,184,495 – 1992,47.55,71.67,86.00,,Yes,,Yes
WO92846PAN,Bois Flotte - Zenitude (Sonate 140) 1007261,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,57.43,80.00,96.00,,Yes,,Yes
WO26626PAN,Bois Flotte - Zenitude (Sonate 90) 1007293,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,90,400 – 1300,55.38,77.50,93.00,,Yes,,Yes
WO56818PAN,Bois Flotte – Tradition (Alto 139) 1017696,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Matt Lacquer,139,1210,46.52,70.00,84.00,,Yes,,Yes
WO17545PAN,Café Crème - Authentic (Chevron 139) 1019822,Panaget,Wood,Chevron,14/3.4,1.45,European Oak,Matt Lacquer,139,650,70.35,98.33,118.00,,Yes,,Yes
WO78263PAN,Café Crème - Zenitude (Diva 139) 1019168,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,37.65,58.33,70.00,,Yes,,Yes
WO15293PAN,Café Crème - Zenitude (Diva 184) 1019171,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.17,89.00,Yes,Yes,,Yes
WO48625PAN,Café Crème - Zenitude (Sonate 140) 1019819,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,57.43,80.00,96.00,,Yes,,Yes
WO99957PAN,Carmen No 2 - Classic (Panel) 1005714,Panaget,Wood,Design Panel,14/3.2,1.23,European Oak,Matt Lacquer,392,392,94.10,122.50,147.00,Yes,,,Yes
WO63925PAN,Carmen No 5 - Classic (Panel) 1005712,Panaget,Wood,Design Panel,14/3.2,1.23,European Oak,Matt Lacquer,392,392,94.10,122.50,147.00,,Yes,,Yes
WO44955PAN,Cuir - Authentic (Diva 184) 1014166,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,56.10,78.33,94.00,,Yes,,Yes
WO94576PAN,Cuir - Authentic (Diva 184) 1014182,Panaget,Wood,Plank,15/4.5,1.84,European Oak,Oil,184,500 – 2000,77.23,108.33,130.00,,Yes,,Yes
WO73015PAN,Cuir - Origine (Diva 184) 1006550,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83,97.00,Yes,,,Yes
WO65687PAN,Fauve - Zenitude (Diva 139) 1019709,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Satin Lacquer,139,495 – 1992,40.85,61.67,74.00,Yes,,,Yes
WO39020PAN,Fauve - Zenitude (Diva 184) 1016472,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Satin Lacquer,184,500 – 2000,52.75,74.17,89.00,,Yes,,Yes
WO60809PAN,Flamed Beech Cuivre (Diva 139) 1019714,Panaget,Wood,Plank,14/3.4,1.38,Beech,Oil,139,495 – 1992,42.00,63.33,76.00,,Yes,,Yes
WO42149PAN,Flamed Beech Satine (Diva 139) 1019711,Panaget,Wood,Plank,14/3.4,1.38,Beech,Satin Lacquer,139,495 – 1992,42.00,63.33,76.00,Yes,Yes,,Yes
WO89103PAN,Flanelle - Authentic (Diva 184) 1014183,Panaget,Wood,Plank,15/4.5,1.84,European Oak,Oil,184,500 – 2000,77.23,108.33,130.00,,Yes,,Yes
WO49935PAN,Flanelle - Zenitude (Diva 184) 1007324,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,52.75,74.17,89.00,Yes,,,Yes
WO66224PAN,Grey Oil - Zenitude (Diva 184) 1007332,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,52.75,74.17,89.00,Yes,Yes,,Yes
WO96565PAN,Habano - Classic/Authentic (Herringbone 90) 1016742,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Matt Lacquer,90,590,44.20,66.67,80.00,,Yes,,Yes
WO36594PAN,Linen - Authentic (Diva 139) 1000299,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Matt Lacquer,139,495 – 1992,40.15,60.00,72.00,,Yes,,Yes
WO98998PAN,Linen - Classic (Diva 139) 1019702,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,45.95,69.17,83.00,,Yes,,Yes
WO16279PAN,Linen - Classic/Authentic (Herringbone 90) 1005924,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Matt Lacquer,90,590,44.20,66.67,80.00,,Yes,,Yes
WO44391PAN,Linen - Zenitude (Diva 184) 1007314,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.17,89.00,Yes,Yes,,Yes
WO40805PAN,Linen - Zenitude (Sonate 140) 1007268,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,57.43,80.00,96.00,,Yes,,Yes
WO60706PAN,Miel - Authentic (Diva 139 Click) 1019705,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,41.40,62.50,75.00,,Yes,,Yes
WO21964PAN,Miel - Authentic (Diva 184) 1019170,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.10,78.33,94.00,Yes,Yes,,Yes
WO13133PAN,Natural Oil - Authentic (Sonate 90) 1000026,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Oil,90,400 – 1300,60.54,85.00,102.00,,Yes,,Yes
WO99719PAN,Natural Oil - Salvaggio (Diva 139) 1014172,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,500 – 2000,60.15,84.17,101.00,Yes,Yes,,Yes
WO94446PAN,Opale - Authentic (Diva 184) 1000060,Panaget,Wood,Plank,12/2.5,2.2,European Oak,Satin Lacquer,184,495 – 1992,51.30,71.67,86.00,,Yes,,Yes
WO99698PAN,Opale - Classic (Diva 139) 1006162,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Satin Lacquer,139,495 – 1992,45.95,69.17,83.00,,Yes,,Yes
WO19963PAN,Rafia - Zenitude (Diva 184) 1007325,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,500 – 2000,500 – 2000,52.75,74.17,89.00,Yes,Yes,,Yes
WO47556PAN,Sable - Authentic (Diva 223) 1017302,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Oil,223,700 – 2000,72.85,101.67,122.00,,Yes,,Yes
WO74187PAN,Sable - Origine (Diva 184) 1016635,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83,97.00,Yes,,,Yes
WO14989PAN,Sable - Zenitude (Diva 139) 1016633,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,495 – 1992,48.00,71.67,86.00,,Yes,,Yes
WO32944PAN,Sable - Zenitude (Diva 139) 1017898,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Oil,139,495 – 1992,37.65,58.33,70.00,,Yes,,Yes
WO86817PAN,Saphir - Authentic (Diva 139) 1019706,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,41.40,62.50,75.00,,Yes,,Yes
WO55092PAN,Saphir - Authentic (Diva 184) 1000069,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.10,78.33,94.00,Yes,Yes,,Yes
WO89971PAN,Satin - Authentic (Sonate 90) 1000027,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Satin Lacquer,90,400 – 1300,60.54,85.00,102.00,,Yes,,Yes
WO33441PAN,Satin - Classic (Diva 139) 1005748,Panaget,Wood,Plank,14/3.4,1.39,European Oak,Satin Lacquer,139,500 – 2000,68.00,95.00,114.00,,Yes,,Yes
WO35992PAN,Satin - Classic (Diva 90) 1005768,Panaget,Wood,Plank,12/2.5,1.47,European Oak,Satin Lacquer,90,385 – 1180,48.00,71.67,86.00,,Yes,,Yes
WO83439PAN,Shabi Chaux - Zenitude (Alto 139) 1017702,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Oil,139,1210,46.52,70.00,84.00,,Yes,,Yes
WO47702PAN,Topaze - Authentic (Diva 139) 1000297,Panaget,Wood,Plank,14/3.4,1.39,European Oak,Matt Lacquer,139,500 – 2000,45.45,68.33,82.00,,Yes,,Yes
WO78511PAN,Topaze - Authentic (Diva 184) 1000070,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.10,78.33,94.00,Yes,,,Yes
WO37940PAN,Topaze - Authentic (Diva 223) 1016986,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Matt Lacquer,223,700 – 2000,72.85,101.67,122.00,,Yes,,Yes
WO46287PAN,Topaze - Authentic (Herringbone 139) 1016618,Panaget,Wood,Herringbone,14/3.4,2.22,European Oak,Matt Lacquer,139,800,58.90,82.50,99.00,Yes,,,Yes
WO80712PAN,Topaze - Authentic (Sonate 140) 1000034,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,65.82,92.50,111.00,,Yes,,Yes
WO73772PAN,Topaze - Classic (Chevron 90) 1005735,Panaget,Wood,Chevron,14/3.4,1.26,European Oak,Matt Lacquer,90,500,69.95,98.33,118.00,,Yes,,Yes
WO77551PAN,Topaze - Classic (Diva 184) 1006158,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,59.00,82.50,99.00,,Yes,,Yes
WO11235PAN,Topaze - Classic/Authentic (Herringbone 90) 1020644,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Matt Lacquer,90,590,44.20,66.67,80.00,,Yes,,Yes
WO29524PAN,Topaze - Tradition (Alto 139) 1017700,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Matt Lacquer,139,1210,46.52,70.00,84.00,,Yes,,Yes
WO62056PAN,Tourbe - Zenitude (Diva 184) 1014165,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.17,89.00,Yes,,,Yes
WO86987PAN,Tourbe - Zenitude/Origine (Diva 184) 1006552,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83,97.00,,Yes,,Yes
WO96380PAN,Tufeau - Authentic (Diva 139) 1019707,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,495 – 1992,41.40,62.50,75.00,,Yes,,Yes
WO75688PAN,Tufeau - Authentic (Diva 184) 1014185,Panaget,Wood,Plank,15/4.5,1.84,European Oak,Oil,184,500 – 2000,77.23,108.33,130.00,,Yes,,Yes
WO88305PAN,Tufeau - Authentic (Herringbone 90) 1016743,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Oil,90,590,44.20,66.67,80.00,Yes,Yes,,Yes
