SKU,Product,Manufacturer,Supplier,Category,Type,Thickness,Pack Quantity,Species,Finish,Width,Length,Cost ex VAT,Sell ex VAT,Sell inc VAT,Twickenham,Richmond,Discontinued?,Show on Website?
WO99719PAN,Natural Oil - Salvaggio (Diva 139) 1014172,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,500 – 2000,60.15,84.16666666666666,101,Yes,Yes,,Yes
WO94446PAN,Opale - Authentic (Diva 184) 1000060,Panaget,Panaget,Wood,Plank,12/2.5,2.2,European Oak,Satin Lacquer,184,495 – 1992,51.3,71.66666666666667,86,,Yes,,Yes
WO99698PAN,Opale - Classic (Diva 139) 1006162,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Satin Lacquer,139,495 – 1992,45.95,69.16666666666667,83,,Yes,,Yes
WO19963PAN,Rafia - Zenitude (Diva 184) 1007325,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,500 – 2000,500 – 2000,52.75,74.16666666666667,89,Yes,Yes,,Yes
WO47556PAN,Sable - Authentic (Diva 223) 1017302,Panaget,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Oil,223,700 – 2000,72.85,101.66666666666666,122,,Yes,,Yes
WO74187PAN,Sable - Origine (Diva 184) 1016635,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83333333333334,97,Yes,,,Yes
WO14989PAN,Sable - Zenitude (Diva 139) 1016633,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,495 – 1992,48.0,71.66666666666667,86,,Yes,,Yes
WO32944PAN,Sable - Zenitude (Diva 139) 1017898,Panaget,Panaget,Wood,Plank,12/2.5,1.38,European Oak,Oil,139,495 – 1992,37.65,58.33333333333333,70,,Yes,,Yes
WO86817PAN,Saphir - Authentic (Diva 139) 1019706,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Matt Lacquer,139,495 – 1992,41.4,62.5,75,,Yes,,Yes
WO55092PAN,Saphir - Authentic (Diva 184) 1000069,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.1,78.33333333333333,94,Yes,Yes,,Yes
WO89971PAN,Satin - Authentic (Sonate 90) 1000027,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Satin Lacquer,90,400 – 1300,60.54,85.0,102,,Yes,,Yes
WO33441PAN,Satin - Classic (Diva 139) 1005748,Panaget,Panaget,Wood,Plank,14/3.4,1.39,European Oak,Satin Lacquer,139,500 – 2000,68.0,95.0,114,,Yes,,Yes
WO35992PAN,Satin - Classic (Diva 90) 1005768,Panaget,Panaget,Wood,Plank,12/2.5,1.47,European Oak,Satin Lacquer,90,385 – 1180,48.0,71.66666666666667,86,,Yes,,Yes
WO83439PAN,Shabi Chaux - Zenitude (Alto 139) 1017702,Panaget,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Oil,139,1210,46.52,70.0,84,,Yes,,Yes
WO47702PAN,Topaze - Authentic (Diva 139) 1000297,Panaget,Panaget,Wood,Plank,14/3.4,1.39,European Oak,Matt Lacquer,139,500 – 2000,45.45,68.33333333333333,82,,Yes,,Yes
WO78511PAN,Topaze - Authentic (Diva 184) 1000070,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,56.1,78.33333333333333,94,Yes,,,Yes
WO37940PAN,Topaze - Authentic (Diva 223) 1016986,Panaget,Panaget,Wood,Plank,15/4.5,1.78,European Oak,Matt Lacquer,223,700 – 2000,72.85,101.66666666666666,122,,Yes,,Yes
WO46287PAN,Topaze - Authentic (Herringbone 139) 1016618,Panaget,Panaget,Wood,Herringbone,14/3.4,2.22,European Oak,Matt Lacquer,139,800,58.9,82.5,99,Yes,,,Yes
WO80712PAN,Topaze - Authentic (Sonate 140) 1000034,Panaget,Panaget,Wood,Plank,14 (Solid),1.64,European Oak,Matt Lacquer,140,400 – 1300,65.82,92.5,111,,Yes,,Yes
WO73772PAN,Topaze - Classic (Chevron 90) 1005735,Panaget,Panaget,Wood,Chevron,14/3.4,1.26,European Oak,Matt Lacquer,90,500,69.95,98.33333333333334,118,,Yes,,Yes
WO77551PAN,Topaze - Classic (Diva 184) 1006158,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,59.0,82.5,99,,Yes,,Yes
WO11235PAN,Topaze - Classic/Authentic (Herringbone 90) 1020644,Panaget,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Matt Lacquer,90,590,44.2,66.66666666666667,80,,Yes,,Yes
WO29524PAN,Topaze - Tradition (Alto 139) 1017700,Panaget,Panaget,Wood,Plank,12/2.5,1.85,European Oak,Matt Lacquer,139,1210,46.52,70.0,84,,Yes,,Yes
WO62056PAN,Tourbe - Zenitude (Diva 184) 1014165,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Matt Lacquer,184,500 – 2000,52.75,74.16666666666667,89,Yes,,,Yes
WO86987PAN,Tourbe - Zenitude/Origine (Diva 184) 1006552,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83333333333334,97,,Yes,,Yes
WO96380PAN,Tufeau - Authentic (Diva 139) 1019707,Panaget,Panaget,Wood,Plank,14/3.4,1.38,European Oak,Oil,139,495 – 1992,41.4,62.5,75,,Yes,,Yes
WO75688PAN,Tufeau - Authentic (Diva 184) 1014185,Panaget,Panaget,Wood,Plank,15/4.5,1.84,European Oak,Oil,184,500 – 2000,77.23,108.33333333333334,130,,Yes,,Yes
WO88305PAN,Tufeau - Authentic (Herringbone 90) 1016743,Panaget,Panaget,Wood,Herringbone,12/2.5,1.91,European Oak,Oil,90,590,44.2,66.66666666666667,80,Yes,Yes,,Yes
WO73968PAN,Tufeau - Zenitude (Diva 184) 1006551,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,57.75,80.83333333333334,97,,Yes,,Yes
WO31883PAN,Tufeau - Zenitude (Diva 184) 1007326,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,184,500 – 2000,52.75,74.16666666666667,89,Yes,,,Yes
WO91511PAN,Tufeau - Zenitude/Origine (Herringbone 139) 1007658,Panaget,Panaget,Wood,Herringbone,14/3.4,2.22,European Oak,Oil,139,800,52.75,74.16666666666667,89,,Yes,,Yes
WO28556PAN,White Oil - Zenitude (Diva 184) 1007644,Panaget,Panaget,Wood,Plank,14/3.4,1.84,European Oak,Oil,139,495 – 1992,37.65,58.33333333333333,70,Yes,,,Yes
WO82868PAR,Classic 3025 - Brushed & Matt Lacquer 1744854,Parador,Parador,Wood,Plank,13/2.5,3.663,European Oak,Lacquer,2200,185,36.39075,61.66666666666667,74,,✓,,Yes
WO55496PAR,Classic 3025 - Oak Matt Lacquer 1744847,Parador,Parador,Wood,Plank,13/2.5,1.685,European Oak,Lacquer,2200,185,34.7985,59.16666666666667,71,,✓,,Yes
WO35589PAR,Classic 3025 - Oak Soft Texture 1744846,Parador,Parador,Wood,Plank,13/2.5,3.663,European Oak,Oil,2200,185,38.70075,62.5,75,,✓,,Yes
WO54207PAR,Classic 3025 - Oak White Natural Oil 1744853,Parador,Parador,Wood,Plank,13/2.5,3.663,European Oak,Oil,2200,185,36.72075,61.66666666666667,74,,✓,,Yes
WO85242PAR,Classic 3060 - Graphite 3-Strip 1739901,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,25.35225,50.0,60,,✓,,Yes
WO93824PAR,Classic 3060 - Indian Breeze 1744434,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Lacquer,2200,185,86.46825,120.83333333333334,145,,✓,,Yes
WO58768PAR,Classic 3060 - Oak 3-Strip 1247126,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Lacquer,2200,185,24.98925,49.16666666666667,59,,✓,,Yes
WO97693PAR,Classic 3060 - Oak Brushed & Natural Oil 1739910,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,36.861,60.0,72,,✓,,Yes
WO48778PAR,Classic 3060 - Oak Pure 1739912,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,36.861,60.0,72,,✓,,Yes
WO35313PAR,Classic 3060 - Oak Smoked 1518242,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Lacquer,2200,185,50.754,75.83333333333333,91,,✓,,Yes
WO61251PAR,Classic 3060 - Oak Soft Texture 1739902,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,36.68775,61.66666666666667,74,,✓,,Yes
WO65243PAR,Classic 3060 - Oak White 1518128,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,38.082,61.66666666666667,74,,✓,,Yes
WO95455PAR,Classic 3060 - Sanded Extra Matt 1744433,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Lacquer,2200,185,44.47575,71.66666666666667,86,,✓,,Yes
WO85513PAR,Classic 3060 - Thermo Oak 1739924,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,2200,185,50.96025,75.83333333333333,91,,✓,,Yes
WO37770PAR,Trendtime 3 (Herringbone) - Black 1601584,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.187,70.83333333333333,85,,✓,,Yes
WO13996PAR,Trendtime 3 (Herringbone) - Castle Extra Matt 1744422,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.187,70.83333333333333,85,,✓,,Yes
WO87654PAR,Trendtime 3 (Herringbone) - Chalet Extra Matt 1744423,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.187,70.83333333333333,85,,✓,,Yes
WO59748PAR,Trendtime 3 (Herringbone) - Nougat 1739933,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.187,70.83333333333333,85,,✓,,Yes
WO97263PAR,Trendtime 3 (Herringbone) - Oak Cream 1739932,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,44.187,70.83333333333333,85,,✓,,Yes
WO38690PAR,Trendtime 3 (Herringbone) - Oak Matt 1601582,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,43.5435,70.0,84,,✓,,Yes
WO80284PAR,Trendtime 3 (Herringbone) - Oak Natural Oil 1739935,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Oil,570,95,44.187,70.83333333333333,85,,✓,,Yes
WO58036PAR,Trendtime 3 (Herringbone) - Oak Pure 1601580,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,43.5435,70.0,84,,✓,,Yes
WO67729PAR,Trendtime 3 (Herringbone) - Oak Smoked 1744419,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,European Oak,Lacquer,570,95,48.83175,72.5,87,,✓,,Yes
WO17279PAR,Trendtime 3 (Herringbone) - Walnut 1743195,Parador,Parador,Wood,Herringbone,10.5/2.5,1.083,American Walnut,Lacquer,570,95,57.75,85.0,102,,✓,,Yes
WO45983PAR,Trendtime 4 - Askada Extra Matt 1744426,Parador,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.128,65.0,78,,✓,,Yes
WO19732PAR,Trendtime 4 - Castle Extra Matt 1744425,Parador,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.128,65.0,78,,✓,,Yes
WO12123PAR,Trendtime 4 - Chalet Extra Matt 1744427,Parador,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.128,65.0,78,,✓,,Yes
WO86088PAR,Trendtime 4 - Nougat 1739938,Parador,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.128,65.0,78,,✓,,Yes
WO44870PAR,Trendtime 4 - Oak Cream 1739937,Parador,Parador,Wood,Plank,13/3.6,2.894,European Oak,Lacquer,160,2010,40.128,65.0,78,,✓,,Yes
WO78742PAR,Trendtime 4 - Walnut Antique 1518200,Parador,Parador,Wood,Plank,13/3.6,2.894,American Walnut,Lacquer,160,2010,71.775,105.0,126,,✓,,Yes
WO83554PAR,Trendtime 4 - Walnut Matt 1257369,Parador,Parador,Wood,Plank,13/3.6,2.894,American Walnut,Lacquer,160,2010,81.60075,114.16666666666666,137,,✓,,Yes
WO84219PAR,Trendtime 6 - Beech White Sawn 1739940,Parador,Parador,Wood,Plank,13/3.6,3.663,Beech,Lacquer,185,2200,28.875,53.33333333333333,64,,✓,,Yes
WO28696PAR,Trendtime 6 - Maple 3-Strip Vintage Sawn 1744428,Parador,Parador,Wood,Plank,13/3.6,3.663,Maple,Lacquer,185,2200,24.98925,49.16666666666667,59,,✓,,Yes
WO84087PAR,Trendtime 6 - Noir Sawn 1739943,Parador,Parador,Wood,Plank,13/3.6,3.663,European Oak,Oil,185,2200,44.55,71.66666666666667,86,,✓,,Yes
WO42824PAR,Trendtime 8 - Elephant Skin 1739952,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,43.4775,70.0,84,,✓,,Yes
WO65782PAR,Trendtime 8 - Handscraped & Brushed 1739953,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,42.438,68.33333333333333,82,,✓,,Yes
WO49160PAR,Trendtime 8 - Limed Handcrafted 1739950,Parador,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,36.65475,61.66666666666667,74,,✓,,Yes
WO68083PAR,Trendtime 8 - Multiplank 1744429,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,43.4775,70.0,84,,✓,,Yes
WO86852PAR,Trendtime 8 - Natural Oil Handcrafted 1739944,Parador,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,36.65475,61.66666666666667,74,,✓,,Yes
WO79651PAR,Trendtime 8 - Pinot Loft Plank 1744430,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,43.4775,70.0,84,,✓,,Yes
WO32931PAR,Trendtime 8 - Smoked Elephant Skin 1739954,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,47.16525,70.83333333333333,85,,✓,,Yes
WO70582PAR,Trendtime 8 - Smoked Grey Handcrafted 1739951,Parador,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,37.488,60.83333333333333,73,,✓,,Yes
WO23978PAR,Trendtime 8 - Smoked Handscraped 1739955,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,45.44925,73.33333333333333,88,,✓,,Yes
WO14785PAR,Trendtime 8 - Smoked Natural Oil 1739945,Parador,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,37.488,60.83333333333333,73,,✓,,Yes
WO25683PAR,Trendtime 8 - Smoked Stone Handcrafted 1744432,Parador,Parador,Wood,Plank,14/3.0,3.218,European Oak,Oil,190,1882,37.488,60.83333333333333,73,,✓,,Yes
WO72228PAR,Trendtime 8 - Smoked Trre Plank 1739956,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,47.34675,70.83333333333333,85,,✓,,Yes
WO34247PAR,Trendtime 8 - Tree Plank 1739957,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,43.4775,70.0,84,,✓,,Yes
WO14044PAR,Trendtime 8 - White Oil Handscraped 1739959,Parador,Parador,Wood,Plank,15/4.0,2.861,European Oak,Oil,190,1882,42.95775,69.16666666666667,83,,✓,,Yes
WO93390STA,Asphalt Grey Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,58.15,79.16666666666667,95,,,,
WO60261STA,Asphalt Grey Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,68.16,90.83333333333334,109,Yes,,,
WO93210STA,Brushed & Basalt Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,51.05,71.66666666666667,86,,,,
WO70399STA,Brushed & Basalt Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,61.07,81.66666666666666,98,Yes,,,
WO80279STA,Blanc Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.42,70.83333333333333,85,,,,
WO82490STA,Blanc Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.42,80.83333333333334,97,Yes,,,
WO60875STA,BP Lacquered (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.96,70.83333333333333,85,,,,
WO18557STA,BP Lacquered (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.97,80.83333333333334,97,Yes,,,
WO22752STA,Cuba Lacquered (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,52.15,72.5,87,,,,
WO98207STA,Cuba Lacquered (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,62.16,85.0,102,Yes,,,
WO62884STA,Grey Stone Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,53.79,74.16666666666667,89,,,,
WO36299STA,Grey Stone Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,63.79,85.83333333333334,103,Yes,,,
WO85322STA,Oak Natural Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,48.87,69.16666666666667,83,,,,
WO44228STA,Oak Natural Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,58.88,80.0,96,Yes,,,
WO86114STA,Smoked & Oiled (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,51.05,71.66666666666667,86,,,,
WO80362STA,Smoked & Oiled (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,61.07,82.5,99,Yes,,,
WO94611STA,Tobacco Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,55.42,76.66666666666667,92,,,,
WO91371STA,Tobacco Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,65.43,87.5,105,Yes,,,
WO95414STA,Walnut Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.42,70.0,84,Yes,,,
WO84048STA,Walnut Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.42,80.0,96,,,,
WO66710STA,Brushed & White Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,51.05,71.66666666666667,86,,,,
WO85810STA,Brushed & White Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,61.07,82.5,99,Yes,,,
WO22814STA,Ebony Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.42,70.0,84,,,,
WO24894STA,Ebony Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.42,80.83333333333334,97,,,,
WO11760STA,Rosewood Oil (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Oil,180,2000 – 2400,49.42,70.0,84,,,,
WO31622STA,Rosewood Oil (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Oil,220,2000 – 2400,59.42,80.0,96,,,,
WO42740STA,Unfinished (180),Staki,Flooring Sales,Wood,Plank,15/4,2.59,European Oak,Unfinished,180,2000 – 2400,44.51,65.0,78,,,,
WO57840STA,Unfinished (220),Staki,Flooring Sales,Wood,Plank,20/6,2.11,European Oak,Unfinished,220,2000 – 2400,49.42,70.0,84,,,,
WO75456TED,Glenariff Herringbone (70 mm),Ted Todd,Ted Todd,Wood,Herringbone,10,1.715,European Oak,Lacquer,70,490,34.64,57.5,69,Yes,,,Yes
WO51060TED,Selborne Extra Wide Plank (220 mm),Ted Todd,Ted Todd,Wood,Plank,20,1,European Oak,Lacquer,220,2400,85.304,115.0,138,,Yes,,Yes
WO46865TED,Kielder Herringbone (100 mm),Ted Todd,Ted Todd,Wood,Herringbone,20,0.9,European Oak,Oil,100,500,71.976,100.83333333333334,121,Yes,,,Yes
WO72096TED,Kielder Plank (220 mm),Ted Todd,Ted Todd,Wood,Plank,20,1.452,European Oak,Oil,220,2200,69.304,96.66666666666666,116,Yes,,,Yes
WO38387TED,Arundel Herringbone (90 mm),Ted Todd,Ted Todd,Wood,Herringbone,20,1.664,European Oak,Oil,90,540,63.976,89.16666666666666,107,Yes,,,Yes
WO90991TED,Arundel Plank (190 mm),Ted Todd,Ted Todd,Wood,Plank,20,2.166,European Oak,Oil,190,1900,58.64,82.5,99,Yes,,,Yes
