Pre-Build Name,SKU,Labour Cost,Labour Sell Price,Group,Subgroup 1,Pre-Build Notes,Pre-Build Description,Estimated Time,Pre-Build Sell Price
Ply Installation - Standard,INS58338VIN,30.0,35.0,Vinyl,Sub floor works,,,60,35.0
Ply Installation - 12mm,INS54620VIN,35.0,40.83333333333333,Vinyl,Sub floor works,,,60,40.83333333333333
Preparation - Miscellaneous,INS63367VIN,1.0,1.1583333333333332,Vinyl,Sub floor works,,,60,1.1583333333333332
Smoothing Compound Installation,INS30266VIN,45.0,54.16666666666667,Vinyl,Sub floor works,,,60,54.16666666666667
Acrylic DPM Installation,INS69728VIN,8.0,9.583333333333334,Vinyl,Sub floor works,,,60,9.583333333333334
Acrylic DPM Installation (Minimum),INS36069VIN,300.0,354.16666666666663,Vinyl,Sub floor works,,,60,354.16666666666663
Moisture Suppressant Installation,INS73958VIN,8.0,9.583333333333334,Vinyl,Sub floor works,,,60,9.583333333333334
Moisture Suppressant Installation (Minimum),INS61476VIN,300.0,354.16666666666663,Vinyl,Sub floor works,,,60,354.16666666666663
Removal (Uplift & Disposal) of Carpet etc.,INS48816VIN,3.5,4.166666666666667,Vinyl,Uplift,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS30633VIN,5.0,5.833333333333334,Vinyl,Uplift,,,60,5.833333333333334
Removal (Uplift & Disposal) of Laminate etc.,INS59225VIN,7.0,8.125,Vinyl,Uplift,,,60,8.125
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS43864VIN,9.5,11.25,Vinyl,Uplift,,,60,11.25
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS25878VIN,12.5,14.583333333333332,Vinyl,Uplift,,,60,14.583333333333332
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS24021VIN,15.0,20.833333333333336,Vinyl,Uplift,,,60,20.833333333333336
Removal (Uplift & Disposal) - Minimum charge,INS93408VIN,70.0,83.33333333333334,Vinyl,Uplift,,,60,83.33333333333334
LVT Installation - Plank,INS81790LVT,18.0,20.833333333333336,LVT,Installation,,,60,20.833333333333336
LVT Installation - Tile,INS82140LVT,18.0,20.833333333333336,LVT,Installation,,,60,20.833333333333336
LVT Installation - Herringbone,INS82037LVT,25.0,29.166666666666664,LVT,Installation,,,60,29.166666666666664
LVT Installation - Small Herringbone,INS83828LVT,30.0,35.0,LVT,Installation,,,60,35.0
LVT Installation - Design Work,INS31496LVT,35.0,40.83333333333333,LVT,Installation,,,60,40.83333333333333
LVT Installation - Border (Without Inlay),INS21027LVT,10.0,11.666666666666668,LVT,Installation,,,60,11.666666666666668
LVT Installation - Border (With Inlay),INS67064LVT,15.0,16.666666666666668,LVT,Installation,,,60,16.666666666666668
Ply (SP101) Installation inc. Feather (For LVT),INS20329LVT,36.5,41.66666666666667,LVT,Sub floor works,,,60,41.66666666666667
LVT Installation - Minimum (1 Day),INS27761LVT,400.0,458.33333333333337,LVT,Installation,,,60,458.33333333333337
LVT Installation - Step,INS64192LVT,50.0,58.33333333333333,LVT,Installation,,,60,58.33333333333333
LVT Installation - Miscellaneous,INS15455LVT,1.0,1.15,LVT,Installation,,,60,1.15
Installation - Cut Door (Each),INS63690LVT,30.0,35.0,LVT,Installation,,,60,35.0
Installation - Travel / Parking / ULEZ / CC,INS57313LVT,1.0,1.15,LVT,Installation,,,60,1.15
Installation - Apply Sealant,INS75858LVT,3.0,3.75,LVT,Installation,,,60,3.75
Move (Emptied) Furniture,INS91762LVT,25.0,29.166666666666664,LVT,Furniture,,,60,29.166666666666664
Lay Floor Protection,INS45350LVT,2.5,2.916666666666667,LVT,Installation,,,60,2.916666666666667
Delivery (Minimum),INS52045LVT,45.0,54.16666666666667,LVT,Delivery,,,60,54.16666666666667
Delivery,INS22975LVT,1.0,1.15,LVT,Delivery,,,60,1.15
Preparation - Miscellaneous,INS66094LVT,1.0,1.1583333333333332,LVT,Sub floor works,,,60,1.1583333333333332
Primer Application,INS33086LVT,2.5,2.916666666666667,LVT,Sub floor works,,,60,2.916666666666667
Smoothing Compound Installation,INS55873LVT,45.0,54.16666666666667,LVT,Sub floor works,,,60,54.16666666666667
Acrylic DPM Installation,INS44910LVT,8.0,9.583333333333334,LVT,Sub floor works,,,60,9.583333333333334
Acrylic DPM Installation (Minimum),INS32274LVT,300.0,354.16666666666663,LVT,Sub floor works,,,60,354.16666666666663
Moisture Suppressant Installation,INS11677LVT,8.0,9.583333333333334,LVT,Sub floor works,,,60,9.583333333333334
Moisture Suppressant Installation (Minimum),INS14439LVT,300.0,354.16666666666663,LVT,Sub floor works,,,60,354.16666666666663
Removal (Uplift & Disposal) of Carpet etc.,INS68310LVT,3.5,4.166666666666667,LVT,Uplift,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS67814LVT,5.0,5.833333333333334,LVT,Uplift,,,60,5.833333333333334
Removal (Uplift & Disposal) of Laminate etc.,INS31163LVT,7.0,8.125,LVT,Uplift,,,60,8.125
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS17271LVT,9.5,11.25,LVT,Uplift,,,60,11.25
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS98123LVT,12.5,14.583333333333332,LVT,Uplift,,,60,14.583333333333332
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS12733LVT,15.0,20.833333333333336,LVT,Uplift,,,60,20.833333333333336
Removal (Uplift & Disposal) - Minimum charge,INS77591LVT,70.0,83.33333333333334,LVT,Uplift,,,60,83.33333333333334
SPC / Click Installation - Plank,INS86442SPC,15.0,17.5,SPC / Click,Installation,,,60,17.5
SPC / Click Installation - Tile,INS97061SPC,15.0,17.5,SPC / Click,Installation,,,60,17.5
SPC / Click Installation - Herringbone,INS83210SPC,22.0,25.0,SPC / Click,Installation,,,60,25.0
SPC / Click Installation - Minimum (1 Day),INS77984SPC,350.0,395.83333333333337,SPC / Click,Installation,,,60,395.83333333333337
SPC / Click Installation - Step,INS13563SPC,50.0,58.33333333333333,SPC / Click,Installation,,,60,58.33333333333333
SPC / Click Installation - Miscellaneous,INS96868SPC,1.0,1.15,SPC / Click,Installation,,,60,1.15
Installation - Cut Door (Each),INS97779SPC,30.0,35.0,SPC / Click,Installation,,,60,35.0
Installation - Travel / Parking / ULEZ / CC,INS72436SPC,1.0,1.15,SPC / Click,Installation,,,60,1.15
Installation - Apply Sealant,INS52997SPC,3.0,3.75,SPC / Click,Installation,,,60,3.75
Move (Emptied) Furniture,INS62492SPC,25.0,29.166666666666664,SPC / Click,Furniture,,,60,29.166666666666664
Lay Floor Protection,INS67716SPC,2.5,2.916666666666667,SPC / Click,Installation,,,60,2.916666666666667
Delivery (Minimum),INS72471SPC,45.0,54.16666666666667,SPC / Click,Delivery,,,60,54.16666666666667
Delivery,INS18267SPC,1.0,1.15,SPC / Click,Delivery,,,60,1.15
Ply Installation - Standard,INS99851SPC,30.0,35.0,SPC / Click,Sub floor works,,,60,35.0
Ply Installation - 12mm(+),INS66352SPC,35.0,40.83333333333333,SPC / Click,Sub floor works,,,60,40.83333333333333
Preparation - Miscellaneous,INS18122SPC,1.0,1.1583333333333332,SPC / Click,Sub floor works,,,60,1.1583333333333332
Smoothing Compound Installation,INS56483SPC,45.0,54.16666666666667,SPC / Click,Sub floor works,,,60,54.16666666666667
Removal (Uplift & Disposal) of Carpet etc.,INS44652SPC,3.5,4.166666666666667,SPC / Click,Uplift,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS13579SPC,5.0,5.833333333333334,SPC / Click,Uplift,,,60,5.833333333333334
Removal (Uplift & Disposal) of Laminate etc.,INS59412SPC,7.0,8.125,SPC / Click,Uplift,,,60,8.125
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS58773SPC,9.5,11.25,SPC / Click,Uplift,,,60,11.25
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS74678SPC,12.5,14.583333333333332,SPC / Click,Uplift,,,60,14.583333333333332
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS14687SPC,15.0,20.833333333333336,SPC / Click,Uplift,,,60,20.833333333333336
Removal (Uplift & Disposal) - Minimum charge,INS45653SPC,70.0,83.33333333333334,SPC / Click,Uplift,,,60,83.33333333333334
Laminate Installation - Plank,INS59231LAM,15.0,17.25,Laminate,Installation,,,60,17.25
Laminate Installation - Tile,INS39516LAM,15.0,17.25,Laminate,Installation,,,60,17.25
Laminate Installation - Herringbone,INS75486LAM,22.5,25.874999999999996,Laminate,Installation,,,60,25.874999999999996
Laminate Installation - Minimum (1 Day),INS53597LAM,350.0,402.49999999999994,Laminate,Installation,,,60,402.49999999999994
Laminate Installation - Step,INS46959LAM,50.0,57.49999999999999,Laminate,Installation,,,60,57.49999999999999
Laminate Installation - Miscellaneous,INS47210LAM,1.0,1.15,Laminate,Installation,,,60,1.15
Skirting Installation,INS37722LAM,20.0,23.0,Laminate,Installation,,,60,23.0
Remove Existing Skirting,INS42318LAM,4.0,4.6,Laminate,Installation,,,60,4.6
Installation - Cut Door (Each),INS73345LAM,30.0,35.0,Laminate,Installation,,,60,35.0
Installation - Travel / Parking / ULEZ / CC,INS17520LAM,1.0,1.15,Laminate,Installation,,,60,1.15
Installation - Apply Sealant,INS46637LAM,3.0,3.75,Laminate,Installation,,,60,3.75
Move (Emptied) Furniture,INS92425LAM,25.0,29.166666666666664,Laminate,Furniture,,,60,29.166666666666664
Lay Floor Protection,INS72617LAM,2.5,2.916666666666667,Laminate,Installation,,,60,2.916666666666667
Delivery (Minimum),INS20702LAM,45.0,54.16666666666667,Laminate,Delivery,,,60,54.16666666666667
Delivery,INS51047LAM,1.0,1.15,Laminate,Delivery,,,60,1.15
Ply Installation - Standard,INS54285LAM,30.0,35.0,Laminate,Sub floor works,,,60,35.0
Ply Installation - 12mm(+),INS59962LAM,35.0,40.83333333333333,Laminate,Sub floor works,,,60,40.83333333333333
Preparation - Miscellaneous,INS76524LAM,1.0,1.1583333333333332,Laminate,Sub floor works,,,60,1.1583333333333332
Primer Application,INS55842LAM,2.5,2.916666666666667,Laminate,Sub floor works,,,60,2.916666666666667
Smoothing Compound Installation,INS65164LAM,45.0,54.16666666666667,Laminate,Sub floor works,,,60,54.16666666666667
Removal (Uplift & Disposal) of Carpet etc.,INS86267LAM,3.5,4.166666666666667,Laminate,Furniture,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS74891LAM,5.0,5.833333333333334,Laminate,Uplift,,,60,5.833333333333334
Removal (Uplift & Disposal) of Laminate etc.,INS86029LAM,7.0,8.125,Laminate,Uplift,,,60,8.125
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS85731LAM,9.5,11.25,Laminate,Uplift,,,60,11.25
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS49242LAM,12.5,14.583333333333332,Laminate,Uplift,,,60,14.583333333333332
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS29249LAM,15.0,20.833333333333336,Laminate,Uplift,,,60,20.833333333333336
Removal (Uplift & Disposal) - Minimum charge,INS54125LAM,70.0,83.33333333333334,Laminate,Uplift,,,60,83.33333333333334
Wood Installation - Plank,INS19563WOO,24.0,27.5,Wood,Installation,,,60,27.5
Wood Installation - Herringbone,INS88991WOO,31.5,36.666666666666664,Wood,Installation,,,60,36.666666666666664
Wood Installation - Chevron,INS82970WOO,31.5,36.666666666666664,Wood,Installation,,,60,36.666666666666664
Wood Installation - Marquetry Design,INS66901WOO,35.0,40.83333333333333,Wood,Installation,,,60,40.83333333333333
Wood Installation - Marquetry Panel,INS38200WOO,31.5,36.666666666666664,Wood,Installation,,,60,36.666666666666664
Wood Installation - Minimum (1 Day),INS21466WOO,400.0,458.33333333333337,Wood,Installation,,,60,458.33333333333337
Wood Installation - Step,INS61118WOO,65.0,75.0,Wood,Installation,,,60,75.0
Wood Installation - Miscellaneous,INS93316WOO,1.0,1.15,Wood,Installation,,,60,1.15
Wood Installation - Border (Without Inlay),INS38822WOO,20.0,23.333333333333336,Wood,Installation,,,60,23.333333333333336
Wood Installation - Border (With Inlay),INS71230WOO,30.0,35.0,Wood,Installation,,,60,35.0
Skirting Installation,INS73643WOO,20.0,23.333333333333336,Wood,Installation,,,60,23.333333333333336
Undercut Skirting,INS30669WOO,20.0,23.333333333333336,Wood,Installation,,,60,23.333333333333336
Remove Existing Skirting,INS51374WOO,4.0,4.583333333333333,Wood,Installation,,,60,4.583333333333333
Install Sound Reducing Underlay (Adhere),INS26625WOO,7.0,8.125,Wood,Installation,,,60,8.125
Undercut Step,INS11171WOO,54.0,62.5,Wood,Installation,,,60,62.5
Installation - Cut Door (Each),INS65685WOO,30.0,35.0,Wood,Installation,,,60,35.0
Installation - Travel / Parking / ULEZ / CC,INS69862WOO,1.0,1.15,Wood,Installation,,,60,1.15
Installation - Apply Sealant,INS61200WOO,3.0,3.75,Wood,Installation,,,60,3.75
Move (Emptied) Furniture,INS16958WOO,25.0,29.166666666666664,Wood,Furniture,,,60,29.166666666666664
Lay Floor Protection,INS55973WOO,2.5,2.916666666666667,Wood,Installation,,,60,2.916666666666667
Delivery (Minimum),INS16058WOO,45.0,54.16666666666667,Wood,Delivery,,,60,54.16666666666667
Delivery,INS83003WOO,1.0,1.15,Wood,Delivery,,,60,1.15
Ply Installation - Standard,INS47494WOO,30.0,35.0,Wood,Sub floor works,,,60,35.0
Ply Installation - 12mm(+),INS36130WOO,35.0,40.83333333333333,Wood,Sub floor works,,,60,40.83333333333333
Preparation - Miscellaneous,INS29082WOO,1.0,1.1583333333333332,Wood,Sub floor works,,,60,1.1583333333333332
Primer Application,INS59904WOO,2.5,2.916666666666667,Wood,Sub floor works,,,60,2.916666666666667
Smoothing Compound Installation,INS18793WOO,45.0,54.16666666666667,Wood,Sub floor works,,,60,54.16666666666667
Acrylic DPM Installation,INS61951WOO,8.0,9.583333333333334,Wood,Sub floor works,,,60,9.583333333333334
Acrylic DPM Installation (Minimum),INS48174WOO,300.0,354.16666666666663,Wood,Sub floor works,,,60,354.16666666666663
Moisture Suppressant Installation,INS46087WOO,8.0,9.583333333333334,Wood,Sub floor works,,,60,9.583333333333334
Moisture Suppressant Installation (Minimum),INS50367WOO,300.0,354.16666666666663,Wood,Sub floor works,,,60,354.16666666666663
Removal (Uplift & Disposal) of Carpet etc.,INS56396WOO,3.5,4.166666666666667,Wood,Uplift,,,60,4.166666666666667
Removal (Uplift & Disposal) of Adhered Carpet etc. ,INS91153WOO,5.0,5.833333333333334,Wood,Uplift,,,60,5.833333333333334
Removal (Uplift & Disposal) of Laminate etc.,INS52594WOO,7.0,8.125,Wood,Uplift,,,60,8.125
Removal (Uplift & Disposal) of Floating Wood Flooring etc. ,INS52633WOO,9.5,11.25,Wood,Uplift,,,60,11.25
Removal (Uplift & Disposal) of Adhered Wood Flooring etc. ,INS12122WOO,12.5,14.583333333333332,Wood,Uplift,,,60,14.583333333333332
Removal (Uplift & Disposal) of (Ceramic) Tiles etc. ,INS64877WOO,15.0,20.833333333333336,Wood,Uplift,,,60,20.833333333333336
Removal (Uplift & Disposal) - Minimum charge,INS74609WOO,70.0,83.33333333333334,Wood,Uplift,,,60,83.33333333333334
